ADANA,ADIYAMAN,AFYON,AÐRI,AMASYA,ANKARA,ANTALYA,ARTVÝN,AYDIN,BALIKESÝR,BÝLECÝK,BÝNGÖL,BÝTLÝS,BOLU,BURDUR,BURSA,ÇANAKKALE,ÇANKIRI,ÇORUM,DENÝZLÝ,DÝYARBAKIR,EDÝRNE,ELAZIÐ,ERZÝNCAN,ERZURUM,ESKÝÞEHÝR,GAZÝANTEP,GÝRESUN,GÜMÜÞHANE,HAKKARÝ,HATAY,ISPARTA,ÝÇEL,ÝSTANBUL,ÝZMÝR,KARS,KASTAMONU,KAYSERÝ,KIRKLARELÝ,KIRÞEHÝR,KOCAELÝ,KONYA,KÜTAHYA,MALATYA,MANÝSA,KAHRAMANMARAÞ,MARDÝN,MUÐLA,MUÞ,NEVÞEHÝR,NÝÐDE,ORDU,RÝZE,SAKARYA,SAMSUN,SÝÝRT,SÝNOP,SÝVAS,TEKÝRDAÐ,TOKAT,TRABZON,TUNCELÝ,ÞANLIURFA,UÞAK,VAN,YOZGAT,ZONGULDAK,AKSARAY,BAYBURT,KARAMAN,KIRIKKALE,BATMAN,ÞIRNAK,BARTIN,ARDAHAN,IÐDIR,YALOVA,KARABÜK,KÝLÝS,OSMANÝYE,DÜZCE
786,680,1006,384,434,750,1166,337,1348,1255,1044,383,549,831,1162,1104,1375,682,526,1225,527,1323,400,133,203,983,742,163,,816,874,1112,855,1093,1329,403,650,550,1304,680,982,852,1061,496,1313,702,622,1370,466,629,676,207,176,945,359,646,515,356,1225,373,101,264,703,1118,614,580,866,704,78,851,675,580,741,833,425,494,1047,764,801,803,876
909,669,1482,432,1139,1368,1466,771,1792,1810,1672,503,335,1548,1575,1741,2009,1387,1231,1669,471,2040,624,772,616,1590,697,979,816,,893,1525,978,1810,1809,567,1392,1050,2021,1184,1699,1265,1582,720,1793,777,398,1777,390,1131,1114,1023,924,1662,1175,284,1331,950,1942,1058,917,641,560,1598,202,1174,1608,1174,738,1198,1297,371,189,1575,654,427,1764,1506,756,822,1593
191,320,764,950,703,681,748,1018,1074,1092,961,616,716,868,857,1030,1291,766,730,951,509,1360,476,741,792,879,196,820,874,893,,807,260,1130,1091,995,880,449,1341,566,1019,547,864,378,1075,176,521,1059,725,478,396,810,1019,982,821,692,961,522,1262,591,944,610,333,880,879,624,945,456,870,480,665,605,704,960,1022,1053,1084,892,147,129,913
616,952,169,1375,720,421,130,1368,288,396,353,1143,1335,561,51,418,595,552,628,165,1141,803,1003,1004,1194,301,828,996,1112,1525,807,,586,595,382,1394,666,564,806,518,484,264,241,905,366,808,1153,292,1252,483,502,952,1207,447,800,1324,835,756,727,764,1132,1135,965,171,1470,602,630,408,1134,369,462,1237,1336,680,1416,1485,482,612,865,703,516
69,405,565,1035,639,483,488,1103,830,893,762,701,801,670,610,831,1092,568,572,708,594,1162,561,747,877,680,281,797,855,978,260,586,,932,892,1080,682,326,1143,368,821,348,665,463,876,261,606,799,810,280,198,787,996,784,744,777,839,499,1064,568,921,695,418,681,964,466,747,258,877,235,467,690,789,762,1107,1138,886,694,318,156,715
939,1208,454,1409,671,453,718,1302,684,390,247,1311,1503,262,596,243,320,497,614,639,1361,230,1210,1038,1228,324,1124,930,1093,1810,1130,595,932,,564,1428,510,771,211,637,111,662,354,1112,529,1044,1449,783,1420,728,797,886,1141,148,734,1548,682,891,132,785,1066,1169,1261,493,1638,668,331,674,1127,775,528,1461,1632,420,1411,1519,176,396,1183,1026,217
900,1236,327,1633,912,579,444,1560,126,176,420,1427,1619,598,374,325,326,710,820,224,1425,534,1287,1262,1452,411,1112,1188,1329,1809,1091,382,892,564,,1652,824,848,551,752,453,550,333,1189,35,1092,1437,225,1536,767,786,1144,1399,484,992,1608,993,1018,506,956,1324,1393,1249,211,1754,794,667,692,1351,663,654,1521,1620,756,1669,1743,390,732,1149,987,553
1011,732,1329,217,757,1073,1448,210,1661,1590,1379,383,432,1166,1444,1439,1710,1005,849,1538,527,1658,521,390,203,1306,840,566,403,567,995,1394,1080,1428,1652,,1010,832,1639,962,1317,1134,1384,617,1636,839,622,1683,349,911,958,610,363,1280,762,529,918,638,1560,696,438,443,703,1441,365,862,1226,986,325,1133,998,567,624,1193,93,140,1382,1124,899,924,1211
689,885,501,991,253,245,782,859,843,672,461,893,1085,248,667,521,792,114,196,720,952,740,799,620,810,478,815,487,650,1392,880,666,682,510,824,1010,,462,721,328,399,468,556,719,808,735,1047,865,1002,419,501,443,698,362,291,1139,183,473,642,367,623,751,952,613,1220,300,216,424,709,579,219,1052,1234,183,968,1101,464,114,874,776,293
333,437,521,813,348,318,618,850,831,842,622,579,771,509,614,691,962,348,281,708,590,1001,439,442,632,540,353,492,550,1050,449,564,326,771,848,832,462,,982,134,660,304,618,341,832,273,678,853,688,81,128,482,691,623,453,777,548,194,903,263,616,573,490,637,906,175,586,156,572,303,247,690,861,601,854,923,725,533,412,378,554
