EventID,Ajans,Tarih_UTC,Enlem,Boylam,Derinlik,Buyukluk,Ulke,Sehir
362040,DDA,2017-02-16 00:19:00,39.5178,26.0885,12.3,4.6,Türkiye,Çanakkale
362034,DDA,2017-02-15 23:01:20,34.7213,24.9651,6.44,4.5,-,-
361551,DDA,2017-02-12 13:48:16,39.5336,26.17,7,5.3,Türkiye,Çanakkale
361537,DDA,2017-02-12 12:14:50,39.5496,26.1183,5.42,4,Türkiye,Çanakkale
361294,DDA,2017-02-10 16:15:47,37.4885,35.6898,7.48,4,Türkiye,Adana
361270,DDA,2017-02-10 12:27:31,39.777,42.5345,4.5,4.5,Türkiye,Agri
361247,DDA,2017-02-10 08:55:25,39.5236,26.1755,7.79,5,Türkiye,Çanakkale
361069,DDA,2017-02-09 10:13:10,39.5405,26.0975,9.82,4,Türkiye,Çanakkale
360777,DDA,2017-02-08 02:16:14,39.5245,26.1653,6.23,4.1,Türkiye,Çanakkale
360770,DDA,2017-02-08 01:38:03,39.5133,26.1398,10.36,4.5,Türkiye,Çanakkale
360727,DDA,2017-02-07 22:53:30,39.5241,26.084,11.1,4.1,-,-
360711,DDA,2017-02-07 21:35:00,39.5218,26.1548,6.97,4.1,Türkiye,Çanakkale
360704,DDA,2017-02-07 21:00:54,39.5256,26.1585,6.87,4.4,Türkiye,Çanakkale
360492,DDA,2017-02-07 05:17:08,39.5345,26.1796,4.86,4.2,Türkiye,Çanakkale
360491,DDA,2017-02-07 05:15:51,39.5216,26.1568,8.95,4.3,Türkiye,Çanakkale
360450,DDA,2017-02-07 02:24:03,39.514,26.1161,11.92,5.2,Türkiye,Çanakkale
360279,DDA,2017-02-06 11:45:01,39.5283,26.1196,11.1,4.4,Türkiye,Çanakkale
360268,DDA,2017-02-06 10:58:02,39.5275,26.1373,9.83,5.3,Türkiye,Çanakkale
360181,DDA,2017-02-06 04:17:29,39.5356,26.1278,9.02,4,Türkiye,Çanakkale
360180,DDA,2017-02-06 03:51:40,39.5423,26.1318,8.86,5.3,Türkiye,Çanakkale
359848,DDA,2017-02-03 06:33:33,38.6873,38.0893,17.85,4,Türkiye,Malatya
359179,DDA,2017-01-27 20:51:25,35.8621,28.688,25.44,4.6,-,-
